,api,time,limit,results,limit_type,jitter,iter
0,pmaw,3.603237600000284,1,1,backoff,full,0
1,pmaw,3.474622099998669,1,1,backoff,equal,0
2,pmaw,2.973867299999256,5,5,backoff,full,0
3,pmaw,6.878816799999186,5,5,backoff,equal,0
4,pmaw,3.021754500001407,25,25,backoff,full,0
5,pmaw,3.689710099999502,25,25,backoff,equal,0
6,pmaw,7.8126764000007825,125,125,backoff,full,0
7,pmaw,3.4567371000011917,125,125,backoff,equal,0
8,pmaw,8.3157312000003,625,625,backoff,full,0
9,pmaw,3.8506134999988717,625,625,backoff,equal,0
10,pmaw,35.69038869999713,3125,3125,backoff,full,0
11,pmaw,44.11949529999765,3125,3125,backoff,equal,0
12,pmaw,181.2667149000008,15625,15625,backoff,full,0
13,pmaw,191.5530276999998,15625,15625,backoff,equal,0
14,pmaw,945.6589474999964,78125,78125,backoff,full,0
15,pmaw,992.5847036000014,78125,78125,backoff,equal,0
16,pmaw,5079.366979799997,390625,390625,backoff,full,0
17,pmaw,5325.919546600002,390625,390625,backoff,equal,0
18,pmaw,1.908530200002133,1,1,average,,0
19,pmaw,9.96570060000522,5,5,average,,0
20,pmaw,0.9519539999964763,25,25,average,,0
21,pmaw,1.2121703999946476,125,125,average,,0
22,pmaw,9.905716699999175,625,625,average,,0
23,pmaw,33.76039319999836,3125,3125,average,,0
24,pmaw,181.3356635999953,15625,15625,average,,0
25,pmaw,984.1716327999966,78125,78125,average,,0
26,pmaw,5522.755829499998,390625,390625,average,,0
27,psaw,2.6867573999988963,1,1,default,,0
28,psaw,1.8746405999991111,5,5,default,,0
29,psaw,8.099379700004647,25,25,default,,0
30,psaw,4.103474700001243,125,125,default,,0
31,psaw,21.7489052000019,625,625,default,,0
32,psaw,73.92517249999946,3125,3125,default,,0
33,psaw,319.6424377000003,15625,15625,default,,0
34,psaw,1766.3204124999975,78125,78125,default,,0
35,psaw,9508.719632100001,390625,390408,default,,0
